Player Name,Club,Position,Appearances,Squawka Score,Goals Scored,Shot Accuracy,POTM,Chances Created,Average Pass Accuracy,Average Pass Length,Duels Won,Average Defensive Actions,Defensive Errors,Yellow Cards,Red Cards,Points,,,Player Name
Marc Bartra,Barcelona,Defender,5,141,0,33,0,0,88,20,62,5,0,0,0,55,141,-86,Marc Bartra
Javier Hernández,Real Madrid,Forward,8,84,3,50,0,2,82,9,36,0,0,1,0,53.76,84,-30.24,Javier Hernández
Javier Hernández,Real Madrid,Forward,8,84,3,50,0,2,82,9,36,0,0,1,0,53.76,84,-30.24,Javier Hernández
Héctor Bellerín,Arsenal,Defender,5,28,0,0,0,2,82,15,49,5,0,1,0,53.5,28,25.5,Héctor Bellerín
Munir El Haddadi,Barcelona,Forward,10,0,1,25,0,4,80,13,39,1,0,0,0,52.25,0,52.25,Munir El Haddadi
Kyle Walker,Tottenham Hotspur,Defender,5,56,0,0,0,0,76,18,54,5,0,2,0,51,56,-5,Kyle Walker
Rafinha,Barcelona,Midfielder,8,71,0,50,0,3,88,15,53,1,1,0,0,50,71,-21,Rafinha
Andros Townsend,Tottenham Hotspur,Midfielder,8,42,1,71,0,4,78,16,40,1,1,2,0,49,42,7,Andros Townsend
Sandro Ramírez,Barcelona,Forward,7,106,2,75,0,0,84,13,57,0,0,0,0,48.355,106,-57.645,Sandro Ramírez
Loïc Remy,Chelsea,Forward,8,82,2,33,0,1,85,13,50,0,0,0,0,46.9,82,-35.1,Loïc Remy
Kyle Naughton,Tottenham Hotspur,Defender,5,60,0,0,0,1,79,18,50,5,1,0,2,46.75,60,-13.25,Kyle Naughton
Mikel Arteta,Arsenal,Midfielder,7,135,0,0,0,3,94,16,44,2,0,1,0,46,135,-89,Mikel Arteta
Fabio Borini,Liverpool,Forward,9,21,0,40,0,8,76,15,31,0,0,2,1,45.39,21,24.39,Fabio Borini
Tomas Rosicky,Arsenal,Midfielder,6,118,1,100,0,4,84,14,60,1,0,0,0,45,118,-73,Tomas Rosicky
Francis Coquelin,Arsenal,Midfielder,6,38,0,0,0,2,83,13,58,4,0,3,0,44,38,6,Francis Coquelin
Ravel Morrison,Cardiff City,Midfielder,7,11,0,0,0,5,90,16,54,0,0,1,0,43,11,32,Ravel Morrison
José Enrique,Liverpool,Defender,3,40,0,0,0,0,64,16,53,5,1,0,0,41,40,1,José Enrique
Adriano,Barcelona,Defender,5,76,0,33,0,5,88,16,33,2,0,0,0,39.75,76,-36.25,Adriano
Martín Montoya,Barcelona,Defender,3,91,0,50,0,2,87,14,52,4,0,0,0,39.5,91,-51.5,Martín Montoya
Paulinho,Tottenham Hotspur,Midfielder,7,3,0,50,0,1,85,14,38,1,0,1,0,38,3,35,Paulinho
James Wilson,Manchester United,Forward,9,31,0,25,0,1,73,11,46,1,0,2,0,37.4075,31,6.4075,James Wilson
Benjamin Stambouli,Tottenham Hotspur,Midfielder,6,22,0,0,0,2,86,16,52,2,0,3,0,37,22,15,Benjamin Stambouli
Guy Demel,West Ham United,Defender,5,12,0,0,0,1,77,17,43,2,0,0,0,35.75,12,23.75,Guy Demel
Sami Khedira,Real Madrid,Midfielder,6,27,0,0,0,3,88,14,50,0,0,0,0,35,27,8,Sami Khedira
Matt Targett,Southampton,Defender,3,38,0,0,0,0,82,22,89,2,0,0,0,33,38,-5,Matt Targett
Sergi Roberto,Barcelona,Midfielder,5,63,0,0,0,2,96,13,46,1,0,0,0,32,63,-31,Sergi Roberto
Kurt Zouma,Chelsea,Defender,4,40,0,0,0,0,85,21,33,3,0,0,0,31,40,-9,Kurt Zouma
Matthew Jarvis,West Ham United,Midfielder,4,45,0,0,0,3,74,16,92,1,0,0,0,30,45,-15,Matthew Jarvis
Harrison Reed,Southampton,Midfielder,4,4,0,0,0,0,74,16,48,3,0,0,0,29,4,25,Harrison Reed
Fábio Coentrão,Real Madrid,Defender,5,15,0,0,0,0,90,14,33,2,0,0,1,28,15,13,Fábio Coentrão
Douglas,Barcelona,Defender,1,14,0,0,0,0,89,16,36,4,0,1,0,23,14,9,Douglas
Ricardo Vaz Te,West Ham United,Forward,4,7,0,50,0,3,77,17,38,1,0,0,0,22.93,7,15.93,Ricardo Vaz Te
Diego Poyet,Huddersfield Town,Midfielder,2,8,0,0,0,1,81,18,40,4,0,1,0,22,8,14,Diego Poyet
Theo Walcott,Arsenal,Forward,4,2,0,50,0,1,85,13,33,0,0,0,0,21.65,2,19.65,Theo Walcott
Daniel Sturridge,Liverpool,Forward,3,104,1,45,0,3,78,12,61,2,0,0,0,21.64,104,-82.36,Daniel Sturridge
Emmanuel Mayuka,Southampton,Forward,5,13,0,0,0,1,64,12,10,1,0,0,0,18.2,13,5.2,Emmanuel Mayuka
Jason McCarthy,Southampton,Defender,1,2,0,0,0,0,63,19,100,2,0,0,0,18,2,16,Jason McCarthy
Joel Campbell,Arsenal,Forward,4,15,0,0,0,2,83,11,57,1,0,0,0,17.47,15,2.47,Joel Campbell
Jose Pozo,Manchester City,Midfielder,3,11,0,100,0,2,95,9,17,0,0,0,0,16,11,5,Jose Pozo
